date,cash,regime,note,BTCUSDT_qty,BTCUSDT_equity,ETHUSDT_qty,ETHUSDT_equity,XRPUSDT_qty,XRPUSDT_equity,SOLUSDT_qty,SOLUSDT_equity,ADAUSDT_qty,ADAUSDT_equity,DOGEUSDT_qty,DOGEUSDT_equity,HBARUSDT_qty,HBARUSDT_equity,TRXUSDT_qty,TRXUSDT_equity,LINKUSDT_qty,LINKUSDT_equity,XLMUSDT_qty,XLMUSDT_equity,VIRTUALUSDT_qty,VIRTUALUSDT_equity,SUIUSDT_qty,SUIUSDT_equity,HUMAUSDT_qty,HUMAUSDT_equity,PEPEUSDT_qty,PEPEUSDT_equity,portfolio_equity,btc_drawdown,buy_frozen,holdings_str
8/19/2025,10591.52426,,,0,0,0,0,0,0,0,0,14362.72292,12156.60868,0,0,0,0,0,0,48.52800297,1143.31975,0,0,0,0,0,0,0,0,0,0,23891.45268,0.057412902,TRUE,"ADAUSDT, LINKUSDT"
8/20/2025,19674.10918,,,0,0,0,0,0,0,0,0,3610.386691,3180.028597,0,0,0,0,0,0,48.52800297,1283.565679,0,0,0,0,0,0,0,0,0,0,24137.70346,0.084614322,TRUE,"ADAUSDT, LINKUSDT"
8/21/2025,22847.7809,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.52800297,1204.465034,0,0,0,0,0,0,0,0,0,0,24052.24594,0.073274281,TRUE,LINKUSDT
8/22/2025,22847.7809,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.52800297,1300.0652,0,0,0,0,0,0,0,0,0,0,24147.8461,0.08763882,TRUE,LINKUSDT
8/23/2025,22847.7809,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.52800297,1275.315918,0,0,0,0,0,0,0,0,0,0,24123.09682,0.051663486,TRUE,LINKUSDT
8/24/2025,22847.7809,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.52800297,1252.993037,0,0,0,0,0,0,0,0,0,0,24100.77394,0.063811595,TRUE,LINKUSDT
8/25/2025,23968.92759,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.019391675,117.3533774,0,0,0,0,0,0,0,0,0,0,24086.28096,0.079580927,TRUE,LINKUSDT
8/26/2025,24086.04637,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24086.04637,0.107005369,TRUE,None
8/27/2025,24086.04637,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24086.04637,0.093614015,TRUE,None
8/28/2025,24086.04637,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24086.04637,0.097678767,TRUE,None
8/29/2025,24086.04637,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24086.04637,0.087096269,TRUE,None
8/30/2025,24086.04637,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24086.04637,0.121072599,TRUE,None
8/31/2025,24086.04637,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24086.04637,0.117512931,TRUE,None
9/1/2025,24086.04637,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24086.04637,0.122135399,TRUE,None
9/2/2025,24086.04637,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24086.04637,0.114097943,TRUE,None
